date,node_id,day_of_simulation,time_of_day_min,pH,temperature_C,TDS_mgl,DO_mgl,label,anomaly_type
2025-01-01,NODE_01,1,0,7.09,25.08,108,4.4,0,normal
2025-01-01,NODE_01,1,10,8.63,24.96,170,2.13,1,AC2_DO_pH
2025-01-01,NODE_01,1,20,7.37,25.07,82,2.4,1,AC1_DO_only
2025-01-01,NODE_01,1,30,7.8,24.28,173,4.48,0,normal
2025-01-01,NODE_01,1,40,8.24,24.56,248,2.62,1,AC1_DO_only
2025-01-01,NODE_01,1,50,7.21,25.13,82,5.97,0,normal
2025-01-01,NODE_01,1,60,8.07,25.21,181,5.17,0,normal
2025-01-01,NODE_01,1,70,5.99,24.01,252,1.94,1,AC2_DO_pH
2025-01-01,NODE_01,1,80,8.26,24.82,82,5.64,0,normal
2025-01-01,NODE_01,1,90,8.01,23.93,82,5.19,0,normal
2025-01-01,NODE_01,1,100,7.13,24.81,203,5.79,0,normal
2025-01-01,NODE_01,1,110,6.8,25.17,220,6.03,0,normal
2025-01-01,NODE_01,1,120,8.24,26.27,87,2.13,1,AC1_DO_only
2025-01-01,NODE_01,1,130,5.91,25.09,149,5.52,1,AC1_pH_low_only
2025-01-01,NODE_01,1,140,9.0,24.66,127,5.21,1,AC1_pH_high_only
2025-01-01,NODE_01,1,150,5.92,23.38,251,2.37,1,AC2_DO_pH
2025-01-01,NODE_01,1,160,5.54,25.29,161,4.55,1,AC1_pH_low_only
2025-01-01,NODE_01,1,170,7.34,25.5,82,5.35,0,normal
2025-01-01,NODE_01,1,180,7.79,23.92,112,2.22,1,AC1_DO_only
2025-01-01,NODE_01,1,190,6.97,24.03,82,4.88,0,normal
2025-01-01,NODE_01,1,200,7.51,24.62,83,5.8,0,normal
2025-01-01,NODE_01,1,210,7.29,26.95,157,5.2,0,normal
2025-01-01,NODE_01,1,220,5.2,23.95,147,1.12,1,AC2_DO_pH
2025-01-01,NODE_01,1,230,6.97,24.93,159,1.91,1,AC1_DO_only
2025-01-01,NODE_01,1,240,7.7,26.28,130,2.34,1,AC1_DO_only
2025-01-01,NODE_01,1,250,8.37,24.19,221,6.05,0,normal
2025-01-01,NODE_01,1,260,7.77,25.0,1046,3.49,1,AC2_DO_TDS
2025-01-01,NODE_01,1,270,7.54,28.88,98,3.18,1,AC1_DO_only
2025-01-01,NODE_01,1,280,7.39,24.03,219,4.62,0,normal
2025-01-01,NODE_01,1,290,7.23,25.21,174,5.14,0,normal
2025-01-01,NODE_01,1,300,7.33,23.67,768,5.73,0,normal
2025-01-01,NODE_01,1,310,8.6,26.08,134,1.12,1,AC2_DO_pH
2025-01-01,NODE_01,1,320,6.63,25.39,82,4.82,0,normal
2025-01-01,NODE_01,1,330,7.07,26.17,172,1.12,1,AC1_DO_only
2025-01-01,NODE_01,1,340,6.28,25.06,82,5.06,0,normal
2025-01-01,NODE_01,1,350,5.71,24.5,82,5.02,1,AC1_pH_low_only
2025-01-01,NODE_01,1,360,6.48,24.16,118,5.71,0,normal
2025-01-01,NODE_01,1,370,7.06,23.77,287,5.07,0,normal
2025-01-01,NODE_01,1,380,9.0,30.1,134,4.07,1,AC1_pH_high_only
2025-01-01,NODE_01,1,390,7.35,25.08,535,5.01,0,normal
2025-01-01,NODE_01,1,400,5.84,23.77,187,1.78,1,AC2_DO_pH
2025-01-01,NODE_01,1,410,7.43,25.29,139,4.94,0,normal
2025-01-01,NODE_01,1,420,8.41,25.64,82,5.48,0,normal
2025-01-01,NODE_01,1,430,7.92,23.46,953,4.7,0,normal
2025-01-01,NODE_01,1,440,7.77,24.08,173,4.65,0,normal
2025-01-01,NODE_01,1,450,7.99,23.93,82,1.17,1,AC1_DO_only
2025-01-01,NODE_01,1,460,7.09,24.83,111,6.07,0,normal
2025-01-01,NODE_01,1,470,8.38,26.2,198,1.78,1,AC1_DO_only
2025-01-01,NODE_01,1,480,8.67,24.67,220,3.78,1,AC2_DO_pH
2025-01-01,NODE_01,1,490,7.35,29.72,234,6.17,0,normal
2025-01-01,NODE_01,1,500,7.92,24.64,82,4.94,0,normal
2025-01-01,NODE_01,1,510,7.86,25.45,173,3.98,1,AC1_DO_only
2025-01-01,NODE_01,1,520,8.23,25.41,147,1.83,1,AC1_DO_only
2025-01-01,NODE_01,1,530,6.82,25.31,82,3.84,1,AC1_DO_only
2025-01-01,NODE_01,1,540,8.43,24.23,249,5.1,0,normal
2025-01-01,NODE_01,1,550,6.69,23.83,267,4.23,0,normal
2025-01-01,NODE_01,1,560,5.2,24.2,82,1.53,1,AC2_DO_pH
2025-01-01,NODE_01,1,570,6.76,24.78,211,2.56,1,AC1_DO_only
2025-01-01,NODE_01,1,580,7.19,26.37,90,1.12,1,AC1_DO_only
2025-01-01,NODE_01,1,590,6.86,25.69,172,5.13,0,normal
2025-01-01,NODE_01,1,600,7.69,25.14,145,5.67,0,normal
2025-01-01,NODE_01,1,610,8.39,28.17,241,4.93,0,normal
2025-01-01,NODE_01,1,620,8.02,25.39,270,4.95,0,normal
2025-01-01,NODE_01,1,630,6.45,24.28,82,7.32,0,normal
2025-01-01,NODE_01,1,640,7.4,27.69,203,5.01,0,normal
2025-01-01,NODE_01,1,650,7.34,24.55,152,1.73,1,AC1_DO_only
2025-01-01,NODE_01,1,660,7.82,24.02,153,3.9,1,AC1_DO_only
2025-01-01,NODE_01,1,670,7.83,29.85,103,1.85,1,AC1_DO_only
2025-01-01,NODE_01,1,680,8.21,23.24,119,5.24,0,normal
2025-01-01,NODE_01,1,690,7.9,23.25,82,1.59,1,AC1_DO_only
2025-01-01,NODE_01,1,700,8.16,25.25,82,4.94,0,normal
2025-01-01,NODE_01,1,710,7.64,25.28,855,4.75,0,normal
2025-01-01,NODE_01,1,720,8.06,22.2,174,5.9,0,normal
2025-01-01,NODE_01,1,730,8.83,25.44,82,1.12,1,AC2_DO_pH
2025-01-01,NODE_01,1,740,7.18,23.57,259,5.39,0,normal
2025-01-01,NODE_01,1,750,5.45,25.69,194,6.67,1,AC1_pH_low_only
