date,node_id,day_of_simulation,time_of_day_min,pH,temperature_C,TDS_mgl,DO_mgl,label
2024-01-01,NODE_01,1,0,8.2,23.42,186,1.62,1
2024-01-01,NODE_01,1,10,8.08,27.5,170,5.37,0
2024-01-01,NODE_01,1,20,7.89,23.92,118,2.97,1
2024-01-01,NODE_01,1,30,7.62,23.26,135,2.47,1
2024-01-01,NODE_01,1,40,7.55,22.94,182,2.89,1
2024-01-01,NODE_01,1,50,7.77,23.3,173,1.12,1
2024-01-01,NODE_01,1,60,7.9,24.74,165,5.68,0
2024-01-01,NODE_01,1,70,8.07,26.61,178,1.99,1
2024-01-01,NODE_01,1,80,8.04,25.28,179,2.44,1
2024-01-01,NODE_01,1,90,7.65,22.3,178,2.8,1
2024-01-01,NODE_01,1,100,7.07,24.42,151,7.09,0
2024-01-01,NODE_01,1,110,7.88,25.65,176,2.24,1
2024-01-01,NODE_01,1,120,7.86,26.68,175,4.66,0
2024-01-01,NODE_01,1,130,8.23,24.63,162,2.29,1
2024-01-01,NODE_01,1,140,7.96,23.95,183,6.67,0
2024-01-01,NODE_01,1,150,7.6,24.0,173,2.52,1
2024-01-01,NODE_01,1,160,7.92,25.54,174,2.16,1
2024-01-01,NODE_01,1,170,7.87,24.22,183,1.42,1
2024-01-01,NODE_01,1,180,7.89,24.51,172,5.5,0
2024-01-01,NODE_01,1,190,7.98,25.34,173,1.76,1
2024-01-01,NODE_01,1,200,7.82,24.97,175,5.11,0
2024-01-01,NODE_01,1,210,7.68,24.49,133,2.87,1
2024-01-01,NODE_01,1,220,7.89,26.62,181,6.73,0
2024-01-01,NODE_01,1,230,7.19,25.25,124,6.24,0
2024-01-01,NODE_01,1,240,7.97,22.89,180,1.8,1
2024-01-01,NODE_01,1,250,7.65,23.59,117,6.91,0
2024-01-01,NODE_01,1,260,7.74,25.64,176,2.41,1
2024-01-01,NODE_01,1,270,7.81,23.16,173,2.18,1
2024-01-01,NODE_01,1,280,8.4,24.16,179,1.98,1
2024-01-01,NODE_01,1,290,7.86,25.86,173,5.02,0
2024-01-01,NODE_01,1,300,8.12,24.48,173,2.48,1
2024-01-01,NODE_01,1,310,7.93,24.59,177,5.57,0
2024-01-01,NODE_01,1,320,7.79,21.86,171,6.39,0
2024-01-01,NODE_01,1,330,7.43,23.82,179,1.75,1
2024-01-01,NODE_01,1,340,7.04,23.87,182,1.77,1
2024-01-01,NODE_01,1,350,7.97,21.53,174,2.79,1
2024-01-01,NODE_01,1,360,8.03,25.94,185,2.36,1
2024-01-01,NODE_01,1,370,7.86,25.42,162,2.62,1
2024-01-01,NODE_01,1,380,7.34,23.1,176,6.44,0
2024-01-01,NODE_01,1,390,7.85,24.02,179,6.45,0
2024-01-01,NODE_01,1,400,8.13,23.25,181,2.55,1
2024-01-01,NODE_01,1,410,7.92,25.06,172,2.4,1
2024-01-01,NODE_01,1,420,7.15,23.38,183,2.41,1
2024-01-01,NODE_01,1,430,7.92,25.13,123,6.31,0
2024-01-01,NODE_01,1,440,8.09,25.78,126,2.58,1
2024-01-01,NODE_01,1,450,7.85,21.97,190,5.58,0
2024-01-01,NODE_01,1,460,7.85,21.05,177,3.18,1
2024-01-01,NODE_01,1,470,7.95,24.53,169,2.44,1
2024-01-01,NODE_01,1,480,7.93,25.23,184,2.54,1
2024-01-01,NODE_01,1,490,8.02,25.35,182,4.92,0
